State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.35789	2.80630	1.81052	1.53894	1.90104	1.90104	1.53894	1.35789	0.99578	1.99157	3.07788	1.81052	1.35789	1.81052	2.53472	1.81052	1.81052	1.99157	0.90526	1.17684	1.90104
2	1.00044	0.99967	1.00065	1.00062	1.00072	0.99974	1.00055	0.99970	1.00044	0.99995	0.99928	1.00055	1.00083	0.99992	1.00037	1.00072	1.00111	1.00051	1.00079	1.00072	1.00069
3	2.63446	1.88176	2.16402	2.16402	1.69358	3.48125	2.44628	1.78767	2.25811	2.63446	1.78767	1.22314	2.25811	1.97584	1.41132	2.25811	0.94088	1.22314	1.88176	1.88176	1.31723
4	0.00000	0.00000	0.24610	0.24610	0.24610	0.98441	0.00000	0.49221	0.73831	0.73831	0.24610	1.23051	0.00000	0.24610	0.00000	0.24610	0.24610	0.73831	0.24610	0.24610	0.73831
5	0.67104	0.95863	0.67104	0.57518	0.67104	1.00657	0.67104	1.72554	1.05450	0.95863	1.82140	0.86277	0.86277	1.10243	0.86277	0.38345	0.81484	1.00657	0.91070	0.76691	0.91070
6	0.86633	0.77970	0.56311	0.95296	0.86633	0.86633	0.86633	1.08291	0.73638	0.82301	0.90965	0.95296	0.60643	1.16954	0.82301	0.77970	0.64975	0.82301	0.86633	0.90965	0.69306
7	0.84328	0.21082	0.00000	0.00000	0.00000	0.00000	1.05410	1.47574	0.63246	0.63246	0.00000	0.63246	0.21082	0.00000	0.21082	0.84328	0.42164	0.42164	0.00000	0.42164	1.05410
8	0.67808	0.69640	0.69640	0.65975	0.67808	0.62310	0.60477	0.53147	0.54979	0.54979	0.62310	0.54979	0.67808	0.65975	0.64143	0.60477	0.62310	0.60477	0.64143	0.62310	0.56812
9	0.71331	2.28258	0.99863	0.71331	0.42798	0.71331	0.71331	1.42661	1.56928	1.56928	1.14129	1.42661	0.71331	1.42661	1.14129	1.14129	0.85597	1.28395	0.99863	1.14129	1.14129
10	1.07386	1.25283	1.25283	1.43181	1.25283	1.25283	1.07386	1.25283	1.43181	1.25283	1.25283	0.89488	0.71590	1.07386	1.25283	0.89488	0.89488	0.89488	1.25283	1.07386	0.89488
