State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.35553	4.95339	4.63382	5.75233	5.83222	9.18775	8.78828	10.46604	9.18775	6.47137	5.67244	5.35286	5.67244	7.03063	6.63116	6.15180	5.67244	5.03329	3.03595	3.75499	3.51531
2	1.00070	0.99992	0.99992	1.00004	0.99980	0.99849	0.99887	0.99856	0.99871	0.99980	0.99998	1.00026	1.00017	0.99973	0.99970	0.99961	1.00054	1.00063	1.00110	1.00094	1.00122
3	0.66430	0.58126	0.33215	0.33215	0.24911	0.24911	0.41519	0.16607	0.41519	0.16607	0.58126	0.41519	0.41519	0.41519	0.49822	0.66430	0.41519	0.24911	0.24911	0.24911	0.66430
4	0.65159	0.21720	0.43440	0.43440	0.00000	0.21720	0.21720	0.00000	0.21720	0.21720	0.43440	0.21720	0.21720	0.00000	0.00000	0.00000	0.21720	0.21720	0.43440	0.21720	0.65159
5	0.63453	0.50762	0.71913	0.08460	0.16921	0.63453	0.29611	0.25381	0.46532	0.29611	0.59223	0.42302	0.25381	0.21151	0.59223	0.63453	0.38072	0.33842	0.42302	0.38072	0.21151
6	0.53520	0.76458	0.80281	0.64989	0.72635	0.45875	0.64989	0.42052	0.45875	0.61166	0.42052	0.49698	0.49698	0.42052	0.45875	0.61166	0.26760	0.49698	0.68812	0.64989	0.61166
7	0.55818	0.18606	0.37212	0.37212	1.11635	0.18606	0.37212	0.55818	0.18606	0.00000	0.18606	0.18606	0.18606	0.37212	0.55818	0.18606	0.37212	0.37212	0.00000	0.18606	0.37212
8	0.48522	0.53374	0.54992	0.54992	0.51757	0.59844	0.63078	0.58226	0.53374	0.56609	0.54992	0.56609	0.61461	0.59844	0.58226	0.58226	0.53374	0.53374	0.54992	0.53374	0.50139
9	2.01449	2.39221	2.26630	2.39221	2.64402	1.88859	1.00725	1.00725	1.38496	1.76268	1.51087	1.38496	1.63677	1.63677	1.25906	1.63677	1.00725	1.25906	1.88859	1.63677	0.88134
10	1.10569	1.26364	1.10569	1.10569	1.42160	1.57955	1.26364	1.57955	2.05342	1.73751	1.42160	1.42160	1.10569	1.26364	0.94773	1.10569	1.10569	1.10569	0.78978	0.94773	0.78978
