State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.03863	3.09149	2.02150	1.40636	3.07820	5.67261	5.40520	0.44353
2	99.50490	1.00110	1.00059	1.00123	0.99928	0.99998	1.00006	1.00214
3	0.03716	0.13316	2.95977	1.88764	1.78786	0.58128	0.42208	0.49554
4	0.01421	0.19405	0.26291	0.13667	0.24613	0.43441	0.23737	0.07963
5	0.07295	0.13235	0.89116	0.96035	1.82160	0.59225	0.44735	1.22802
6	0.08072	0.08327	0.80245	0.92491	0.90974	0.42053	0.63025	1.22350
7	0.01659	0.25594	0.36089	0.26656	0.00000	0.18606	0.35461	0.10658
8	0.19080	1.04714	0.37604	0.36863	0.62316	0.54993	0.54573	0.17094
9	0.02451	1.16581	1.20621	0.98299	1.14141	1.51092	1.78004	0.88547
10	0.01954	0.46400	0.38653	0.14384	1.25296	1.42164	1.24370	0.05519
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
