State (Emission order)	H3K27me3	H4K20me1	H3K36me3	H3K9me3	H3K4me3	H3K9ac	H3K4me1	H3K4me2	H3K27ac	H3K79me2
1	0.7918928494637131	0.40222317806157576	0.32520958921532417	0.31726678248695206	0.06166577899229333	0.1335395822857064	0.020824193050708227	0.029137983210262855	0.08259469608163134	0.23917910683593288
2	8.799000610247485E-5	4.865676992526186E-9	6.299658430981794E-6	1.212813446252689E-20	4.429035823072115E-5	2.382276017523656E-12	3.576358882798418E-7	3.607411771888136E-7	3.3766858023450407E-6	1.9609000499696288E-7
3	0.9284742195584768	0.25547310752704494	0.03842757404037534	0.40473722085105257	0.6241520815204513	0.7056763485168932	0.5614412235970939	0.8733893742953067	0.7882997935653939	0.4317806973501607
4	0.43379368469646773	0.358793146934019	0.07939390508007028	0.01033402688303293	0.011830797915527491	0.9424052115821041	0.9617963377880013	0.9950215914001238	0.9980163211532002	0.9950155443879326
5	0.7807519273782766	0.8572483563754252	0.8447692128270602	0.6925551372063611	0.92249583464684	0.9809621522112846	0.9465886587618528	0.9999999795485367	0.9932292419546851	0.9892653646851427
6	0.16432848264871855	0.2784429223855523	0.7901910659550607	0.518982665570936	0.7685834032023615	0.7950323389089927	0.8786682549626924	0.9469470721732767	0.9879372071420788	0.9938478474356486
7	0.039939814923116455	0.009151800445371245	0.007724532776699683	0.001489876425838182	0.001069942612826293	0.11265657248657364	0.20105591609267665	0.618498407837973	0.5648790323317396	0.904615092824967
8	7.917727495505343E-5	9.694213645067921E-5	3.478042525056645E-6	1.960802912709303E-5	0.0	1.462937550514511E-11	1.930382848496618E-5	0.001003572294508362	0.003179111867191663	0.013849766147009852
9	0.268848633540476	0.33006108638076553	0.6962323564975998	0.3561922463931355	0.32695758960322185	0.5602085317582396	0.12888494990488955	0.31835922425328117	0.8338381437232275	0.9254388322406873
10	0.9971306720102586	0.9909944577494247	0.9920575900840862	0.46887081629079264	0.5468354445678136	0.9996713848498449	0.9988219599950212	1.0	1.0	0.9989963687588548
