State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.00061	1.00001	1.00065	1.00142	1.00040	0.99973	0.99980	0.99966	0.99991	0.99906	0.99949	1.00051	1.00072	0.99998	1.00001	1.00065	1.00033	1.00072	1.00114	1.00082	0.99998
2	0.70846	0.62511	0.70846	0.68762	0.70846	0.62511	0.64595	0.56260	0.64595	0.64595	0.64595	0.66678	0.72929	0.70846	0.70846	0.68762	0.68762	0.68762	0.72929	0.64595	0.60427
3	0.80112	0.75105	0.85119	0.62588	0.72602	0.85119	0.82616	1.12658	0.80112	0.77609	0.95133	0.62588	0.75105	0.77609	0.82616	0.67595	0.77609	0.87623	0.77609	0.95133	1.12658
4	0.33026	0.55044	0.22018	0.00000	0.11009	0.55044	0.33026	0.66053	0.66053	0.44035	0.44035	0.55044	0.44035	0.55044	0.55044	0.66053	0.55044	0.33026	0.22018	0.77061	0.77061
5	0.79291	0.89457	0.79291	0.69126	0.89457	1.11821	0.95556	0.95556	0.93523	1.19953	0.97589	0.89457	0.77258	0.89457	0.89457	0.81324	0.85390	0.79291	0.71159	0.71159	0.69126
6	0.57873	0.38582	0.33759	0.28937	0.43405	0.48228	0.48228	0.67519	0.77164	0.48228	0.53051	0.62696	0.81987	0.62696	0.48228	0.33759	0.57873	0.57873	0.43405	0.77164	0.77164
7	0.58826	1.05886	0.82356	1.17651	0.94121	0.94121	1.17651	1.29417	0.82356	1.17651	1.05886	0.70591	0.58826	0.70591	0.58826	0.58826	0.58826	0.82356	0.82356	0.70591	0.94121
8	1.71008	2.07009	1.98009	1.62007	2.16010	2.25010	2.43011	3.33015	2.25010	3.06013	2.70012	2.43011	2.16010	2.61011	1.98009	2.07009	2.25010	1.62007	1.98009	1.44006	1.89008
9	2.41931	3.04365	2.41931	1.87301	2.02910	2.49735	2.18518	1.40476	2.34127	2.26323	2.26323	1.63889	1.63889	2.10714	2.49735	2.26323	1.56085	1.79497	1.63889	1.63889	1.79497
10	1.58088	1.91370	1.41447	1.74729	2.08011	1.66409	2.32972	1.33127	1.74729	2.49613	2.16331	1.99690	1.41447	1.91370	2.16331	1.91370	2.41292	1.74729	1.41447	1.49768	2.41292
