State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.00132	1.00098	1.00160	1.00092	0.99911	0.99877	0.99964	0.99908	0.99809	1.00023	0.99989	1.00054	1.00098	1.00179	1.00030	1.00079	1.00129	1.00176	1.00151	1.00185	1.00148
2	0.34940	0.29423	0.33101	0.34940	0.42296	0.45974	0.44135	0.42296	0.38618	0.45974	0.45974	0.49652	0.53330	0.53330	0.55169	0.51491	0.53330	0.49652	0.53330	0.45974	0.49652
3	0.79541	1.01635	0.97217	1.08264	1.06054	0.99426	0.70703	1.01635	0.95007	0.59656	0.66284	0.59656	0.72912	0.66284	0.66284	0.68493	0.90588	0.72912	0.81750	0.81750	0.90588
4	0.19432	0.58295	0.29147	0.48579	0.00000	0.00000	0.09716	0.19432	0.58295	0.29147	0.38863	0.19432	0.38863	0.38863	0.09716	0.48579	0.19432	0.48579	0.19432	0.58295	0.38863
5	0.98687	0.89716	0.80744	0.59212	0.89716	0.75361	0.57418	0.43064	0.48446	0.59212	0.48446	0.61007	0.41269	0.52035	0.68184	0.66390	0.48446	0.48446	0.75361	0.71773	0.57418
6	0.68101	0.80870	0.46820	0.29794	0.29794	0.63845	0.29794	0.46820	0.46820	0.38307	0.42563	0.51076	0.38307	0.12769	0.25538	0.46820	0.29794	0.29794	0.42563	0.38307	0.29794
7	0.72683	0.72683	1.03833	0.83067	1.14216	1.03833	1.14216	1.03833	1.24600	1.14216	1.03833	1.03833	0.51917	0.72683	0.83067	0.72683	0.93450	0.72683	0.72683	0.72683	0.72683
8	0.55603	0.23830	0.07943	0.31773	0.39716	0.07943	0.23830	0.39716	0.07943	0.15887	0.71490	0.31773	0.47660	0.31773	0.55603	0.31773	0.39716	0.15887	0.23830	0.31773	0.15887
9	0.75764	0.48213	0.34438	0.34438	0.61988	0.68876	0.61988	0.68876	0.61988	0.20663	0.55101	0.55101	0.75764	0.34438	0.68876	1.03314	0.41326	0.27550	0.68876	0.41326	1.03314
10	3.23100	3.96532	3.74503	5.87455	8.44466	9.61957	9.69301	10.13360	12.55685	8.73839	8.81182	7.19632	6.46200	5.21366	7.34319	5.58082	5.28709	5.21366	3.74503	3.37787	4.18562
