State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	99.26087	1.00142	1.00008	1.00149	0.99948	0.99989	1.00059	1.00166
2	0.16781	1.40199	0.37816	0.24045	0.64601	0.45976	0.45332	0.19783
3	0.13967	0.56130	0.78426	0.82633	0.95143	0.66286	0.86939	1.20921
4	0.03176	0.76149	0.27405	0.20986	0.44040	0.38864	0.31803	0.13747
5	0.17198	0.24326	0.92679	0.92945	0.97599	0.48448	0.69108	1.19919
6	0.07250	0.10549	0.55180	0.79094	0.53056	0.42565	0.48374	1.28590
7	0.02972	0.41330	0.33906	0.14874	1.05897	1.03836	0.90707	0.07613
8	0.03885	0.14867	2.98797	1.69643	2.70040	0.71492	0.34405	0.65387
9	0.04480	0.21559	2.92494	1.96525	2.26346	0.55103	0.58076	0.44441
10	0.04202	4.35618	2.21339	1.26048	2.16354	8.81210	6.00664	0.49017
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
