State (Emission order)	H3K9me3	H3K4me3	H3K9ac	H3K4me1	H3K4me2	H3K27ac	H3K79me2	H3K36me3	H4K20me1	H3K27me3
1	3.113624068415632E-5	4.536516858707531E-5	1.4962569074806328E-5	5.599166513694747E-5	7.806424060086936E-5	2.295045226906372E-4	0.0027474563864215438	7.352261590910275E-5	4.245338797946204E-5	3.491693745964879E-4
2	0.0	0.0	1.0173415368777359E-227	4.030548267125039E-5	4.884046499320857E-4	0.005624819510446198	0.10225169654586533	4.4112981968726825E-5	9.637474725286643E-77	3.998900124869448E-5
3	0.023215691241510725	0.05435955274956998	0.04101906321724416	0.07939921729355655	0.08530773551486572	0.2885616792061137	0.8195749056847502	0.10819156335352186	0.019371773847338895	0.00928196490721825
4	0.0013867833430454529	0.0014830362672121772	0.34727011088607745	0.40112068014711655	0.8089239193603587	0.8900587943928873	0.9858999213279908	0.02459711411764669	0.043724005178498816	0.11207352135671293
5	0.31040029654569584	0.5820186964898084	0.5753049974248468	0.7103682500611636	0.8009577924752448	0.9685977083376535	0.993798414165825	0.6569423438610303	0.15367971591735108	0.09064204083413031
6	0.6708962109923337	0.9548999477578273	0.9825323504029104	0.9536876431952082	0.9856513507249242	0.9999999999999997	1.0	0.9530816020359822	0.8168384821050602	0.6411844065812109
7	0.33083094960736964	0.5065609722994572	0.9988354120724303	0.9997271883473655	1.0	1.0	0.9992924558360279	0.8712885116545391	0.9476366399138269	0.987628986083041
8	0.4257881097313306	0.7421751727783215	0.8124776645187605	0.8092983398388631	0.9248597172563686	0.9175752768180574	0.757738199774292	0.1921441556802389	0.5004340405305966	0.9574231761573998
9	0.2576814272604309	0.3769353998419831	0.327921540483167	0.26208515448758624	0.5589056865063524	0.4241718981926262	0.26631495684698464	6.632382038719065E-4	0.07337878405677102	0.7548053360746225
10	0.3310964252951206	0.04811015405672326	0.10179265347722972	0.022904134430189963	4.140740118508877E-5	0.06522708232499087	0.2892168486901936	0.3969335826887471	0.5387426539431874	0.8442828312039555
