State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9933294235593562	6.874485435036534E-6	0.0028603244278814243	4.128707744814179E-6	0.0016538016073407537	7.399731954044432E-4	4.346880070742003E-6	4.0700804834872025E-4	4.97926138680758E-4	4.961929497371773E-4
2	0.002749717900682639	0.837315756292289	0.0019734083486753966	0.10074994120291907	6.210564784471124E-4	3.846936542220076E-4	0.05616616242369899	3.926369906568201E-5	0.0	0.0
3	0.9750945324876045	8.137469059105523E-4	0.018029232624970148	0.0	0.003071118215062334	0.002711378704051673	2.169511787498397E-4	6.303988365094668E-5	0.0	0.0
4	0.018919735522878116	0.5474642329918308	5.968920322552188E-4	0.2517100389258549	0.0	0.0	0.18130910052718088	0.0	0.0	0.0
5	0.9864554159509773	6.321503537614114E-4	0.007004211529654592	1.537451720912328E-4	0.004695534173043607	0.0010589428204717912	0.0	0.0	0.0	0.0
6	0.9750102804668082	8.248268703647899E-4	0.006931613883607203	0.0	0.0027038885210031467	0.012570587223548983	0.0011794373746653658	4.2768310351949494E-4	0.0	3.51682556482808E-4
7	0.01349231484882235	0.3258940488868158	0.0	0.19449006080295148	0.0	0.003551147158973877	0.4623553788870012	0.0	2.1704941543527643E-4	0.0
8	0.9904352800664312	1.982884043775931E-8	7.328561683350773E-6	0.0	0.0	0.0	2.6518493175073644E-5	0.005984666871665941	0.002920378597054594	6.258075811494585E-4
9	0.9897799823761582	6.284493754988967E-4	0.0	0.0	0.0	0.0	0.0	0.0018660176912739864	0.007725550557068896	0.0
10	0.969007182636054	0.0	0.0	0.0	0.0	0.0	0.0	2.3042737709588675E-4	0.0	0.030762389986850144
